amount_expected,amount_actual,amount_diff_pct,time_pending_seconds,decline_code_category,remitter_bank_historical_td_rate,is_duplicate_flag,label
63978.74,58699.21,8.252,18,none,0.1724,0,wrong_amount
8785.19,8785.19,0.0,4,BD,0.0658,0,no_mismatch
56168.38,56168.38,0.0,90,none,0.0629,0,wrong_amount
80962.1,100534.54,24.1748,44,TD,0.0617,0,no_mismatch
10310.81,10310.81,0.0,46,none,0.1549,0,stuck_payment
73000.21,73000.21,0.0,119,none,0.1425,0,wrong_amount
61890.12,61890.12,0.0,74,TD,0.0267,0,no_mismatch
77329.53,77329.53,0.0,110,TD,0.0342,0,no_mismatch
63604.88,63604.88,0.0,48,none,0.1708,0,stuck_payment
68386.41,55358.88,19.0499,21,none,0.0748,0,wrong_amount
68847.38,68847.38,0.0,42,none,0.1962,0,no_mismatch
3306.81,3306.81,0.0,35,BD,0.2292,0,no_mismatch
71819.64,71819.64,0.0,64,none,0.2295,0,stuck_payment
26561.53,26561.53,0.0,72,none,0.1893,0,stuck_payment
58394.94,58394.94,0.0,18,none,0.0318,1,duplicate_charge
11053.95,11053.95,0.0,102,none,0.1531,0,stuck_payment
59629.25,59629.25,0.0,33,none,0.2166,1,duplicate_charge
72100.11,72100.11,0.0,69,none,0.1945,0,stuck_payment
29420.66,29450.3,0.1007,65,none,0.1318,0,wrong_amount
62567.49,62567.49,0.0,65,none,0.0467,0,stuck_payment
53983.97,53983.97,0.0,68,none,0.1537,0,stuck_payment
11275.59,11275.59,0.0,107,none,0.0675,0,stuck_payment
56778.96,44311.61,21.9577,98,none,0.0402,0,wrong_amount
94690.18,109680.31,15.8307,28,none,0.1913,0,wrong_amount
71323.6,71323.6,0.0,86,none,0.1151,0,stuck_payment
12188.32,12188.32,0.0,44,BD,0.1429,0,no_mismatch
818.36,818.36,0.0,8,TD,0.2273,0,no_mismatch
7178.65,7178.65,0.0,86,none,0.1394,0,stuck_payment
88250.07,88250.07,0.0,32,none,0.2038,0,no_mismatch
9783.39,9783.39,0.0,55,none,0.2173,1,duplicate_charge
65380.2,65380.2,0.0,8,none,0.0914,0,no_mismatch
24940.77,28297.95,13.4606,24,TD,0.07,0,no_mismatch
44368.76,44368.76,0.0,71,BD,0.1665,0,no_mismatch
1574.31,1218.16,22.6226,22,none,0.1255,0,wrong_amount
90254.04,90313.4,0.0658,34,none,0.1984,0,wrong_amount
69689.49,69689.49,0.0,101,none,0.1824,0,stuck_payment
29741.11,29741.11,0.0,75,none,0.0246,0,stuck_payment
5109.22,5109.22,0.0,118,none,0.0478,0,stuck_payment
8103.14,6656.24,17.856,52,BD,0.2237,0,no_mismatch
59492.46,59492.46,0.0,54,none,0.1457,0,stuck_payment
26150.49,26150.49,0.0,41,TD,0.105,0,no_mismatch
30069.71,30069.71,0.0,97,none,0.0122,0,duplicate_charge
56343.07,65431.12,16.1298,17,none,0.2214,0,wrong_amount
37015.76,46274.44,25.0128,79,none,0.2037,0,wrong_amount
66819.53,66819.53,0.0,120,none,0.2353,0,stuck_payment
11631.32,13562.18,16.6005,37,none,0.1822,0,wrong_amount
63460.37,63460.37,0.0,63,TD,0.228,1,duplicate_charge
63465.02,63465.02,0.0,6,BD,0.1951,0,no_mismatch
26269.33,26269.33,0.0,71,none,0.1446,0,wrong_amount
94510.59,94510.59,0.0,20,none,0.2103,0,no_mismatch
14894.57,13516.47,9.2524,116,none,0.1737,0,wrong_amount
35432.5,35432.5,0.0,112,none,0.159,0,stuck_payment
92995.11,92995.11,0.0,103,none,0.2215,1,duplicate_charge
73682.79,73682.79,0.0,120,none,0.1708,0,stuck_payment
24891.91,30129.05,21.0395,112,BD,0.123,0,stuck_payment
91853.34,91853.34,0.0,106,none,0.0646,1,duplicate_charge
19393.67,19393.67,0.0,111,BD,0.1956,0,stuck_payment
50989.63,50989.63,0.0,108,none,0.2354,0,stuck_payment
97043.02,125065.23,28.8761,5,BD,0.1143,0,no_mismatch
31436.36,31436.36,0.0,66,BD,0.2259,0,no_mismatch
4534.21,4534.21,0.0,67,none,0.1392,0,stuck_payment
74220.81,74220.81,0.0,47,none,0.2377,0,stuck_payment
62353.23,62353.23,0.0,16,none,0.0821,0,no_mismatch
40898.45,40898.45,0.0,38,none,0.056,0,duplicate_charge
37976.61,37976.61,0.0,23,none,0.0822,0,wrong_amount
140.55,140.55,0.0,56,none,0.1556,0,stuck_payment
44234.42,44234.42,0.0,66,none,0.2263,0,stuck_payment
17052.17,19689.53,15.4664,12,none,0.1903,0,no_mismatch
22541.6,22375.45,0.7371,61,none,0.1944,0,wrong_amount
88625.08,88625.08,0.0,92,none,0.1287,0,stuck_payment
65640.2,50851.91,22.5293,100,none,0.0522,0,wrong_amount
51843.98,47967.4,7.4774,59,BD,0.1215,0,no_mismatch
55936.64,55936.64,0.0,97,none,0.157,0,stuck_payment
50527.34,50527.34,0.0,71,none,0.0482,0,stuck_payment
45061.97,45061.97,0.0,108,none,0.1938,0,stuck_payment
62712.17,62712.17,0.0,10,none,0.0663,0,no_mismatch
89313.38,93355.59,4.5259,89,TD,0.0613,0,no_mismatch
33155.05,33155.05,0.0,8,TD,0.1108,0,no_mismatch
58449.53,58449.53,0.0,110,none,0.1482,0,stuck_payment
94279.89,94279.89,0.0,50,none,0.2388,0,stuck_payment
74776.82,74776.82,0.0,78,none,0.1272,0,stuck_payment
48615.64,48615.64,0.0,86,none,0.107,0,stuck_payment
46792.28,38056.86,18.6685,117,none,0.1455,1,duplicate_charge
64310.69,55402.51,13.8518,34,none,0.0608,0,wrong_amount
76146.85,76146.85,0.0,97,none,0.1112,0,stuck_payment
47083.65,47083.65,0.0,7,none,0.094,0,no_mismatch
78145.18,78145.18,0.0,97,BD,0.0693,0,no_mismatch
62171.43,62171.43,0.0,61,none,0.1454,0,stuck_payment
69976.55,69976.55,0.0,22,none,0.2413,0,no_mismatch
77801.41,70540.94,9.3321,119,none,0.1726,0,wrong_amount
